#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sigma_SFR      Sigma_star      Sigma_mol      Sigma_mol_4p35   Sigma_mol_N12   Sigma_mol_B13      F_CO_60pc      F_CO_150pc   Sigma_mol_combo
NGC1097     interarm    1112  1.000000      -NaN  8.327055  8.233490  0.00345329   43.1521    5.6342    5.8768   11.2951   14.8721       NaN   11.0648    5.6436
NGC1097     interarm    1113  1.000000      -NaN  9.068398  8.673087  0.00175795   30.1790    2.4451    2.4548       NaN       NaN       NaN       NaN    2.3868
NGC1097     interarm    1166  1.000000      -NaN 10.132514  9.724593  0.00103437   22.4207    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1097     interarm    1167  1.000000      -NaN  9.640079  9.650132  0.00110879   28.5834    0.5181    0.5050       NaN       NaN       NaN       NaN    1.2136
NGC1097     interarm    1168  1.000000      -NaN  9.270016  9.139512  0.00167464   39.5922    1.1759    1.1684       NaN       NaN       NaN       NaN    1.3928
NGC1097     interarm    1172  0.943165      -NaN  9.237386  9.486284  0.00515269   64.3513   10.0165    9.9692   19.5290   21.8420       NaN   15.4630    9.9518
NGC1097     interarm    1173  1.000000      -NaN  9.592981  9.637831  0.00480439   58.8253    9.0316    8.8258   17.4183   16.5003       NaN   21.5407    9.2957
NGC1097     interarm    1174  1.000000      -NaN 10.072738  9.947354  0.00412597   54.2033    5.9856    5.7065   11.3758   17.8916       NaN    8.9055    6.2844
NGC1097     interarm    1175  1.000000      -NaN 10.659906 10.479475  0.00192940   44.5652    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1097     interarm    1231  1.000000      -NaN 11.197003 11.005695  0.00079048   29.0427    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
